Website,Category,PII_Observable
https://www.woodlawnpharmacy.com/contact,Pharmacy,Yes
https://wyndhammedicalpharmacy.com/contact.html,Pharmacy,Yes
https://beyondrx.ca/,Pharmacy,Yes
https://afiyapainclinictoronto.com/,Pharmacy,Yes
https://apollonpharmacy.com/,Pharmacy,Yes
https://apothecapharmacy.ca/,Pharmacy,Yes
https://www.ascendpharmacy.ca/,Pharmacy,Yes
https://pharmasave.com/store/pharmasave-balmoral/,Pharmacy,Yes
https://bathurstpharmacy.ca/,Pharmacy,Yes
https://pharmasave.com/toronto-beaches/,Pharmacy,Yes
https://www.blaircourtpharmacy.com/,Pharmacy,Yes
https://www.bookmypharmacy.com/4169770970,Pharmacy,Yes
https://www.bloorstpharmacy.com/,Pharmacy,Yes
https://blueskypharmacy.ca/,Pharmacy,Yes
https://brimleymedical.ca/brmc-ida-pharmacy/,Pharmacy,Yes
https://www.cabbagetownpharmacy.com/,Pharmacy,Yes
https://caseyhouse.ca/,Pharmacy,Yes
https://www.citylifepharmacy.com/,Pharmacy,Yes
https://citypharmacy.ca/,Pharmacy,Yes
https://cloudpharmacy.ca/,Pharmacy,Yes
https://www.thedanforthpharmacy.com/,Pharmacy,Yes
https://www.deerparkcompound.com.au/,Pharmacy,Yes
https://www.discoverypharmacy.utoronto.ca/,Pharmacy,Yes
https://www.donrusselldrugmart.ca/,Pharmacy,Yes
https://donvalleypharma.com/,Pharmacy,Yes
https://www.villageofislington.com/business/dunbloor-medical-pharmacy-and-walk-in-clinic/,Pharmacy,Yes
https://www.dynastypharmacy.ca/,Pharmacy,Yes
https://emergepharmacy.com/,Pharmacy,Yes
https://everestpharmacy.ca/,Pharmacy,Yes
https://geriatrx.com/,Pharmacy,Yes
https://www.getwellrx.ca/,Pharmacy,Yes
https://www.glengrovepharmacy.com/,Pharmacy,No
https://medcab.ca/,Pharmacy,Yes
https://www.remedyrxjamestownpharmacy.com/,Pharmacy,Yes
http://www.addingtonhighlands.ca/,Municipal ,Yes
https://adelaidemetcalfe.on.ca/,Municipal ,Yes
https://www.adjtos.ca/en/index.aspx,Municipal ,No
http://www.admastonbromley.com/,Municipal ,Not Testable
http://www.ajax.ca/en/,Municipal ,Yes
http://www.alberton.ca/,Municipal ,No
https://www.alfred-plantagenet.com/en/index.aspx,Municipal ,Not Testable
http://www.algonquinhighlands.ca/,Municipal ,No
http://www.amaranth.ca/en/index.aspx,Municipal ,Not Testable
http://www.amherstburg.ca/,Municipal ,Yes. Goes to a third party website to submit form and got caught by extension
http://www.armourtownship.ca/,Municipal ,No
http://www.armstrongtownship.com/,Municipal ,Not Testable
http://www.arnprior.ca/,Municipal ,No
http://www.arran-elderslie.com/,Municipal ,No
http://www.acwtownship.ca/,Municipal ,No
https://www.antownship.ca/en/index.aspx,Municipal ,Not Testable
http://www.assiginack.ca/,Municipal ,Yes
http://www.athenstownship.ca/,Municipal ,Not Testable
http://www.atikokan.ca/siteengine/activepage.asp,Municipal ,Not Testable
http://www.augusta.ca/,Municipal ,Not Testable
https://www.aurora.ca/en/index.aspx,Municipal ,No
http://www.aylmer.ca/,Municipal ,No.Goes to a third party website to submit form which not worked
https://www.baldwin.ca/,Municipal ,Not Testable
http://www.bancroft.ca/,Municipal ,No
http://www.barrie.ca/Pages/default.aspx,Municipal ,No
http://www.bayham.on.ca/siteengine/activepage.asp,Municipal ,Yes
http://www.twp.beckwith.on.ca/,Municipal ,Not Testable
http://www.belleville.ca/,Municipal ,Not Testable
http://www.billingstwp.ca/,Municipal ,Not Testable
http://www.blackriver-matheson.com/,Municipal ,Not Testable
http://www.blandfordblenheim.ca/,Municipal ,No
https://www.blindriver.ca/,Municipal ,Not Testable
https://www.municipalityofbluewater.ca/,Municipal ,Not Testable
https://www.bonfieldtownship.com/,Municipal ,No
http://www.bonnecherevalleytwp.com/,Municipal ,Not Testable
http://www.bracebridge.ca/,Municipal ,Yes
https://www.townofbwg.com/,Municipal ,Not Testable
http://www.brampton.ca/en/pages/welcome.aspx,Municipal ,Not Testable
http://www.brant.ca/,Municipal ,No
http://www.brantford.ca/Pages/default.aspx,Municipal ,Not Testable
http://www.brighton.ca/,Municipal ,Not Testable
http://townshipofbrock.ca/,Municipal ,Not Testable
http://www.brockton.ca/,Municipal ,Not Testable
http://www.brockville.com/,Municipal ,Not Testable
http://brookealvinston.com/home/,Municipal ,Not Testable
http://www.brucecounty.on.ca/,Municipal ,Not Testable
http://www.brucemines.ca/,Municipal ,Yes
http://www.blrtownship.ca/,Municipal ,Not Testable
http://www.burksfalls.net/,Municipal ,No
https://www.burlington.ca/en/index.aspx,Municipal ,Not Testable
http://www.burpeemills.com/,Municipal ,Not Testable
http://www.town.caledon.on.ca/,Municipal ,Not Testable
http://mycallander.ca/,Municipal ,Yes
http://www.calvintownship.ca/,Municipal ,Yes
http://www.cambridge.ca/,Municipal ,Not Testable
http://www.carletonplace.ca/,Municipal ,Not Testable
http://www.carlingtownship.ca/,Municipal ,Yes
http://www.carlowmayo.ca/,Municipal ,Not Testable
http://Casey.ca,Municipal ,Not Testable
https://www.centralelgin.org/en/index.aspx,Municipal ,Not Testable
